NPA,2011,2013,2015,2016,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2020 Raw,2022 Raw,2023 Raw
233,"2","1","2","1","1","2","1","24","14","22","6","15","26","20"
234,"24","13","10","11","16","6","9","222","123","91","104","154","142","228"
235,"7","2","4","3","7","5","11","62","21","40","23","62","46","101"
236,"0","0","1","0","0","3","0","2","2","3","1","0","14","2"
237,"14","13","17","17","13","16","20","137","132","166","173","155","195","243"
238,"19","17","21","24","19","23","26","168","149","182","211","171","229","260"
240,"17","10","19","14","16","32","34","153","85","169","120","164","373","400"
241,"1","0","1","0","1","3","1","5","2","6","1","8","23","8"
242,"21","8","15","6","30","43","25","104","37","77","32","153","218","136"
243,"9","4","2","2","21","6","3","4","2","1","1","42","53","25"
244,"22","10","21","9","29","38","12","155","66","145","60","199","266","84"
245,"15","5","11","8","6","7","10","99","35","71","53","40","46","85"
246,"4","2","4","2","3","4","4","45","19","44","19","38","45","50"
247,"2","1","1","3","4","16","33","8","3","5","12","18","71","149"
248,"3","0","2","2","2","2","6","24","0","20","15","12","14","37"
249,"15","3","5","3","3","15","12","79","18","24","18","16","76","61"
250,"4","2","4","4","4","8","4","24","13","29","29","28","25","12"
251,"15","7","8","12","8","12","6","88","44","50","79","55","88","45"
252,"7","5","10","4","2","4","3","25","16","35","15","7","13","12"
253,"0","0","2","0","1","1","1","2","4","14","4","6","11","8"
254,"5","2","6","1","8","9","2","15","5","19","3","29","96","36"
255,"2","0","1","1","2","2","1","24","6","16","8","35","27","22"
256,"1","0","2","0","0","--","1","7","0","17","3","1","0","34"
257,"1","1","1","0","1","1","2","7","8","15","5","20","24","40"
258,"48","15","17","14","15","13","16","489","155","169","143","169","181","221"
259,"19","15","20","18","10","9","5","187","145","195","179","112","103","53"
260,"22","9","19","9","10","25","19","281","114","239","108","134","347","269"
261,"33","4","15","4","10","25","9","282","37","128","36","87","216","77"
262,"6","1","2","2","2","4","4","79","15","22","23","22","52","52"
263,"3","2","3","1","3","4","3","29","19","30","15","34","45","36"
264,"4","1","6","3","2","4","3","40","5","61","28","17","36","33"
265,"15","6","10","5","6","7","8","81","33","54","28","33","38","44"
266,"6","3","4","10","3","7","6","65","27","40","106","31","85","77"
267,"3","3","3","3","2","3","2","38","40","49","41","44","59","40"
268,"32","29","17","10","8","14","10","222","200","116","69","58","98","68"
269,"3","2","3","0","3","2","3","33","23","38","6","37","22","39"
270,"0","0","2","0","1","1","1","2","0","14","1","5","5","3"
271,"69","23","28","31","14","28","42","311","101","126","138","64","124","189"
272,"2","1","3","0","1","3","7","12","5","27","0","11","20","57"
273,"1","1","1","1","3","3","5","10","9","10","6","26","30","52"
274,"0","0","1","0","1","5","2","0","1","7","1","5","27","10"
275,"2","2","6","2","3","6","4","20","14","56","19","28","51","35"
276,"26","4","8","7","4","7","11","176","30","52","50","29","48","76"
277,"14","1","5","4","2","2","1","76","5","31","29","16","21","15"
278,"2","2","3","1","3","11","7","20","20","22","11","28","109","71"
279,"0","0","1","0","0","1","1","3","1","9","2","4","8","11"
280,"22","15","28","8","25","53","23","90","60","116","32","100","231","163"
281,"2","4","1","4","2","13","9","11","18","7","20","12","84","62"
282,"15","9","9","7","13","21","20","71","44","47","36","69","115","111"
283,"20","12","12","11","11","18","8","207","130","127","116","115","196","87"
284,"0","1","2","1","0","1","0","1","2","5","3","6","8","3"
285,"33","13","238","6","--","2,700","68","5","2","38","1","0","27","67"
286,"3","2","4","11","3","62","133","3","2","3","9","2","43","92"
287,"0","0","8","--","--","1","2","2","0","101","0","0","8","23"
288,"1","1","2","--","--","1","1","6","8","15","0","0","10","11"
289,"15","2","5","4","4","6","5","189","23","65","53","63","161","123"
290,"19","8","34","18","26","13","5","81","34","142","74","72","194","140"
291,"6","2","4","1","3","9","14","58","15","36","14","26","86","139"
292,"50","18","20","26","20","27","24","211","75","84","107","79","108","103"
293,"59","40","35","46","35","43","47","212","140","125","164","121","157","170"
294,"23","9","19","18","16","10","17","102","38","83","76","75","49","98"
295,"10","12","8","15","12","12","11","43","62","43","80","62","64","59"
296,"15","2","2","3","2","3","2","71","10","10","19","19","27","29"
297,"0","0","1","0","0","10","0","0","0","1","0","0","15","0"
298,"0","0","10","--","--","1","0","2","0","82","0","0","4","1"
299,"22","16","11","13","16","7","7","248","181","130","158","218","98","101"
300,"0","0","--","--","--","--","0","0","0","0","0","0","0","0"
301,"44","13","11","12","18","7","8","326","103","84","99","153","58","64"
302,"0","0","0","0","0","2","0","3","5","5","4","5","21","2"
303,"1","1","2","0","1","4","3","6","5","20","2","9","40","33"
304,"3","1","4","1","2","3","3","13","5","17","3","7","11","13"
305,"19","10","10","13","8","10","9","77","40","42","51","34","50","46"
306,"5","1","8","4","9","6","27","22","5","29","16","44","28","132"
307,"28","22","28","14","12","19","16","309","242","310","208","166","296","241"
308,"11","1","2","0","3","10","9","45","6","12","2","15","49","42"
309,"2","1","1","0","2","1","1","11","3","7","1","14","10","10"
310,"3","1","5","1","3","2","3","27","12","40","8","23","13","26"
311,"46","21","24","18","22","42","42","271","121","136","102","122","241","244"
312,"48","13","16","15","8","24","20","302","80","102","93","47","147","127"
313,"21","9","17","10","8","9","8","123","49","98","59","47","75","63"
314,"13","10","21","8","4","10","13","127","95","202","75","40","95","120"
315,"24","17","17","11","6","9","11","77","66","68","42","74","120","145"
316,"10","9","10","5","8","6","13","139","127","143","76","112","89","184"
317,"19","9","33","19","26","39","27","59","27","100","59","80","121","84"
318,"6","6","5","4","10","13","10","40","42","37","27","81","98","94"
319,"29","8","23","15","8","17","11","290","82","248","163","106","278","179"
320,"10","6","7","7","15","20","28","48","29","32","31","68","89","126"
321,"46","20","42","29","30","39","73","222","94","198","138","140","203","374"
322,"33","21","23","12","11","21","17","140","88","100","53","45","88","71"
323,"26","12","25","13","8","23","21","231","109","223","113","67","206","190"
324,"9","2","2","2","3","4","5","54","9","13","12","18","26","34"
325,"24","10","8","9","11","13","24","267","107","92","97","123","148","279"
326,"17","9","26","28","18","27","26","71","37","107","115","72","109","106"
327,"23","16","23","21","10","19","22","144","101","142","129","63","178","202"
328,"27","8","18","16","19","17","23","104","31","67","61","70","63","127"
329,"25","10","26","18","14","9","9","190","77","200","138","106","71","70"
330,"15","13","14","26","17","15","15","112","98","103","203","131","114","114"
331,"7","4","14","6","6","16","10","49","26","98","44","63","263","229"
332,"9","12","7","8","7","8","12","56","76","50","54","49","59","86"
333,"22","15","28","14","16","13","16","224","158","294","146","178","154","189"
334,"1","0","--","0","1","2","0","5","0","0","0","2","8","1"
335,"4","1","2","--","--","3","2","46","6","23","0","0","35","27"
336,"4","1","2","1","2","2","2","64","20","37","18","46","58","56"
337,"3","4","3","3","4","5","6","20","31","24","22","32","38","45"
338,"4","0","3","1","0","1","0","38","4","41","18","7","13","5"
339,"7","3","3","0","2","1","1","60","33","30","5","28","22","28"
343,"21","20","24","13","7","13","15","197","172","210","112","71","150","227"
344,"25","21","15","27","9","21","32","182","157","116","213","77","175","289"
345,"26","9","13","10","19","24","11","99","35","51","39","71","128","64"
346,"20","19","17","14","20","18","19","215","199","178","153","206","187","202"
347,"49","25","31","15","12","19","12","137","87","108","51","42","91","75"
348,"15","10","11","12","10","11","18","194","122","142","160","128","154","254"
349,"1","2","2","4","5","3","2","4","13","14","31","14","22","14"
350,"2","1","2","0","1","1","2","14","8","16","0","9","4","13"
351,"11","4","4","1","4","7","6","45","17","16","5","18","32","29"
352,"0","0","1","0","0","1","0","2","3","14","0","3","9","3"
353,"4","2","2","1","4","5","6","37","18","24","11","44","51","79"
354,"1","1","2","1","1","1","1","11","7","20","15","7","9","14"
355,"1","0","0","0","0","1","1","6","1","5","2","3","13","7"
356,"0","0","1","0","0","1","1","5","4","12","2","7","27","13"
357,"13","1","2","4","5","3","5","187","19","25","62","63","31","56"
358,"2","2","2","3","2","1","3","26","33","28","55","52","40","83"
359,"2","2","2","2","7","7","3","22","20","17","24","79","79","40"
360,"19","8","11","11","20","28","22","277","114","170","171","335","583","534"
361,"78","47","77","44","16","9","6","357","213","349","265","192","168","132"
362,"14","11","18","16","10","18","9","189","142","232","214","132","229","142"
363,"54","17","22","17","28","31","28","609","208","261","207","316","368","331"
364,"3","1","2","0","1","4","2","34","14","22","4","8","41","20"
365,"46","23","19","12","18","11","20","299","192","156","98","149","87","163"
366,"17","7","18","22","40","60","42","101","32","84","98","162","245","172"
367,"15","6","5","2","2","5","4","394","151","149","61","69","174","136"
368,"30","11","14","--","--","29","12","351","134","164","0","0","338","141"
369,"100","35","47","27","28","19","51","527","180","219","125","125","193","537"
370,"24","27","23","43","26","43","48","297","335","283","525","295","522","658"
371,"33","25","33","27","24","41","37","747","570","738","604","530","1,166","1,131"
372,"3","1","2","1","2","2","2","134","54","94","66","94","89","95"
373,"4","2","5","3","5","5","4","45","17","53","38","60","56","50"
374,"43","35","29","25","24","42","39","499","393","335","280","253","442","411"
375,"1","0","2","1","1","9","4","9","4","17","8","11","80","39"
376,"6","7","7","8","5","5","8","85","105","95","118","70","80","123"
377,"8","3","3","4","14","6","8","148","54","67","88","283","118","166"
378,"15","9","8","7","7","13","12","307","185","179","147","187","387","366"
379,"2","0","1","0","0","1","1","23","3","13","5","4","13","16"
380,"3","1","3","2","4","1","4","62","23","52","37","74","15","69"
381,"18","6","4","4","8","2","4","320","111","72","86","199","71","112"
382,"80","47","54","50","29","33","33","762","436","506","456","257","295","320"
383,"39","7","34","12","8","24","21","627","113","533","193","131","389","343"
385,"26","28","18","19","22","13","14","516","556","360","384","442","252","281"
386,"34","43","51","21","11","18","16","286","366","431","178","100","220","258"
387,"57","16","32","15","31","32","27","544","152","306","141","274","348","339"
388,"35","11","20","21","8","13","11","296","88","192","203","122","215","229"
389,"44","17","23","13","11","6","18","1,443","607","805","461","386","182","579"
390,"15","8","16","12","15","32","33","116","64","122","93","117","287","292"
391,"4","2","5","7","9","6","8","38","24","46","64","87","63","77"
392,"5","1","2","1","1","7","3","186","59","98","49","42","253","111"
393,"19","33","34","15","9","18","25","549","968","951","393","324","756","1,066"
394,"7","7","6","10","10","17","17","95","96","80","151","142","247","244"
395,"--","0","5","--","--","--","--","0","0","30","0","0","0","0"
396,"--","0","0","1","1","--","--","0","3","2","6","6","0","0"
397,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
398,"--","0","--","0","--","--","--","0","1","0","0","0","0","0"
399,"--","--","0","--","--","--","--","0","0","3","0","0","0","0"
400,"--","0","1","--","--","--","0","0","0","11","0","0","0","1"
401,"--","1","5","--","--","--","--","0","8","41","0","0","0","0"
402,"--","0","6","--","--","--","--","0","0","36","0","0","0","0"
403,"--","2","2","3","2","--","--","0","15","12","19","13","0","0"
404,"--","0","3","3","--","--","--","0","1","23","27","0","0","0"
405,"--","1","0","1","--","--","--","0","9","6","10","0","0","0"
406,"--","4","6","2","1","--","--","0","32","48","20","15","0","0"
407,"--","3","3","3","3","--","--","0","22","19","20","20","0","0"
408,"--","1","3","3","2","--","--","0","15","32","29","19","0","0"
409,"--","0","0","0","--","--","--","0","5","5","3","0","0","0"
410,"--","0","1","0","--","--","--","0","2","6","1","0","0","0"
411,"--","0","0","0","--","--","--","0","1","1","1","0","0","0"
412,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
413,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
416,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
417,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
418,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
419,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
420,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
421,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
422,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
423,"--","0","6","2","2","--","--","0","3","41","16","18","0","0"
424,"--","--","0","--","--","--","--","0","0","1","0","0","0","0"
425,"--","1","2","1","1","--","--","0","3","8","4","5","0","0"
426,"--","0","5","--","--","--","--","0","0","37","0","0","0","0"
428,"--","6","6","3","2","1","0","0","30","30","14","11","5","1"
430,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
431,"--","5","4","3","3","--","--","0","35","26","18","23","0","0"
432,"--","0","3","--","--","--","--","0","4","27","0","0","0","0"
433,"--","0","2","--","--","--","--","0","1","5","0","0","0","0"
434,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
435,"--","4","10","6","4","--","--","0","9","23","14","10","0","0"
436,"--","5","3","5","3","--","--","0","32","19","28","21","0","0"
437,"--","--","0","--","--","--","--","0","0","1","0","0","0","0"
438,"--","0","1","0","--","--","--","0","3","9","4","0","0","0"
442,"--","0","3","1","2","--","0","0","1","19","10","15","0","3"
443,"--","--","--","--","--","--","0","0","0","0","0","0","0","2"
444,"--","--","0","--","--","--","--","0","0","1","0","0","0","0"
445,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
446,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
447,"--","--","0","--","--","--","--","0","0","1","0","0","0","0"
448,"--","1","7","1","--","--","--","0","17","111","9","0","0","0"
449,"--","0","1","0","--","--","--","0","3","10","1","0","0","0"
450,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
451,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
452,"--","--","0","--","--","--","--","0","0","1","0","0","0","0"
453,"--","--","0","--","--","--","--","0","0","1","0","0","0","0"
454,"--","4","5","3","3","--","--","0","23","26","16","17","0","0"
455,"--","3","2","2","3","--","--","0","19","12","17","26","0","0"
456,"--","0","3","--","--","--","--","0","0","17","0","0","0","0"
457,"--","1","2","--","--","--","--","0","2","7","0","0","0","0"
458,"--","2","1","0","--","--","--","0","8","2","1","0","0","0"
459,"--","0","2","--","--","--","--","0","3","19","0","0","0","0"
460,"--","0","5","--","--","--","--","0","5","49","0","0","0","0"
462,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
463,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
464,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
465,"--","0","1","--","--","--","--","0","1","7","0","0","0","0"
466,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
467,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
468,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
469,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
470,"--","0","0","0","--","--","--","0","4","5","1","0","0","0"
471,"--","3","1","1","--","--","--","0","33","11","14","0","0","0"
472,"--","1","2","3","--","--","--","0","6","10","17","0","0","0"
473,"--","0","--","--","--","--","--","0","1","0","0","0","0","0"
474,"--","1","2","1","--","--","--","0","7","20","6","0","0","0"
475,"--","--","0","--","--","--","--","0","0","2","0","0","0","0"
476,"3","1","2","1","1","--","--","215","61","173","53","96","0","0"
