NPA,Bicycle Friendliness,Employment,Food and Nutrition Services,High Speed Internet Access,Home Ownership,Home Sales Price,Household Income,Housing Assistance – Development-Based,Housing Code Violations,Neighborhood Organizations,Nuisance Violations,Population - Youth,Proximity to a Grocery Store,Proximity to a Pharmacy,Proximity to Early Care and Education,Proximity to Financial Services,Proximity to Public Outdoor Recreation,Proximity to School-Age Care,Rental Costs,Single-Family Housing,Test Proficiency - Elementary School,Test Proficiency - High School,Test Proficiency - Middle School,Tree Canopy
115,2,92.9%,3.8%,96.7%,70.8%,"$721,467","$165,232",0%,0,5,3,28.8%,26.5%,44.4%,52%,37.3%,23.8%,52%,"$2,007",73.3%,81%,93.5%,82.6%,48.3%
116,--,92.9%,28.5%,82%,60.4%,"$663,618","$99,495",6.2%,--,4,10,33.1%,64.2%,85.2%,72.5%,29%,25.9%,61.6%,"$1,431",37.7%,31%,23.4%,33.7%,34.7%
117,2,99.2%,28.4%,86.8%,70.6%,"$607,896","$76,898",0%,0,4,9,28.1%,16.5%,20.5%,85.5%,0%,30.8%,85.5%,"$1,880",83.5%,34.5%,30.2%,32.7%,45.3%
118,--,94.2%,2.7%,98%,91.9%,"$235,122","$136,304",0%,--,0,0,29.2%,0%,0%,64.8%,0.2%,73.6%,67%,"$1,201",100%,89.2%,71.4%,79.5%,75.7%
119,2,41.3%,26.6%,78.3%,67.1%,"$416,720","$93,882",0%,0,6,16,20.7%,14.9%,24.3%,14.3%,0%,61%,14.3%,"$1,434",66.3%,34.8%,31.8%,46.6%,50.5%
120,1,87.6%,59.6%,59.3%,38.1%,"$431,956","$29,568",43.4%,2,2,46,36.2%,0%,0%,100%,0%,100%,100%,"$1,414",47.7%,31.4%,29.2%,16.9%,26.5%
121,2,98.4%,33.4%,86.4%,36.6%,"$367,039","$66,250",4.1%,1,4,28,17.9%,0.1%,4.3%,99.9%,49.8%,66.9%,99.9%,"$1,808",54.2%,22.9%,21.9%,25.8%,40.1%
122,2,--,--,--,--,"$248,462",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.9%
123,2,100%,39.8%,74%,57.9%,"$591,272","$53,675",0%,1,9,13,16.1%,1.1%,21.7%,98.8%,0.6%,90.1%,98.8%,"$1,102",74.3%,21.1%,22.7%,13.9%,35.1%
124,2,100%,65.4%,58.8%,28.4%,"$411,068","$66,402",32.9%,1,6,20,13.4%,95.2%,72.5%,100%,97.5%,100%,100%,"$1,105",45.2%,23.2%,9.5%,22.9%,28.2%
125,2,97.5%,39.3%,90.6%,61.2%,"$342,726","$58,644",0%,0,4,26,36%,23.3%,0%,60.7%,19.3%,73.7%,60.7%,"$1,510",74.5%,25.7%,41%,23.3%,36.8%
126,2,95%,42.3%,82.1%,51.3%,"$313,538","$127,902",42.6%,0,1,7,22.5%,0%,0%,100%,0%,100%,--,"$1,027",18.3%,24.2%,30.8%,22.5%,12.9%
127,1,94.9%,31.4%,54.5%,22.5%,"$626,286","$42,625",0%,2,5,9,31.4%,13.6%,29.3%,93.5%,80.5%,87.1%,93.4%,"$1,260",29.2%,32.2%,24.2%,23%,32%
128,2,90.3%,33.7%,58.6%,27.4%,"$294,464","$56,477",26%,2,2,32,23.4%,0%,28.2%,99.3%,26.6%,98.8%,99.3%,"$1,055",53.3%,30.4%,29.7%,18%,43.8%
129,2,99.6%,2%,96.2%,87%,"$249,688","$128,533",0%,0,1,4,21.2%,17.3%,19.7%,2.5%,15.3%,86.5%,2.5%,"$1,663",82%,83.9%,63.6%,80%,79.5%
130,1,97.3%,2.7%,88.6%,89.1%,"$837,800","$150,156",0%,0,5,0,17.4%,0%,0%,1.4%,0%,9.2%,6.8%,"$1,165",88.6%,65.1%,81.3%,68.4%,92.7%
131,1,99.7%,16.2%,96.5%,77.7%,"$572,340","$72,480",0%,0,1,7,19.3%,0%,2.1%,3.4%,1.3%,50.4%,41.6%,"$1,939",93.1%,52.9%,42.9%,39%,53.3%
132,2,100%,5%,84.8%,51.2%,--,"$90,886",0%,0,1,31,15.5%,88.5%,0.4%,39.7%,89.5%,100%,--,"$1,056",88.9%,63.6%,--,80%,52.3%
133,2,95.6%,2.6%,96.3%,53.6%,"$287,436","$95,411",0%,0,4,4,26.4%,39.6%,42.4%,97.1%,94%,100%,97.1%,"$1,321",34.3%,87.5%,83.3%,75%,51.9%
134,1,69.7%,30.9%,80.6%,28.8%,"$273,512","$69,363",0%,0,1,26,34.8%,41.5%,0%,100%,0%,100%,100%,"$1,736",45%,33.3%,23.5%,47.4%,47.8%
135,1,82.5%,44%,82.1%,12.3%,"$290,295","$47,813",0%,3,1,5,35.2%,0%,100%,94.4%,100%,100%,94.4%,"$1,271",0%,19.3%,18.8%,17.9%,26.9%
136,1,97.8%,12.7%,94.3%,77.5%,"$410,083","$136,597",0%,0,3,10,21.7%,0%,9.2%,7.8%,0.8%,48%,5.6%,"$1,786",100%,35.3%,50%,44.4%,52.8%
137,1,84.6%,30.5%,73.5%,54.7%,"$607,071","$65,784",0%,1,2,16,26.6%,0%,1.1%,0%,0.4%,1.1%,--,"$1,694",99.8%,39.1%,22.5%,42.9%,39.9%
138,1,100%,41.2%,57.8%,81.8%,"$362,316","$60,794",0%,1,1,90,19.3%,0%,0%,99.7%,0%,92.1%,99.7%,"$1,101",100%,38.2%,41.7%,24.1%,28.5%
139,2,100%,36.2%,81.9%,43%,"$278,580","$55,417",0%,1,1,39,26.4%,15.7%,45.2%,83.6%,17.6%,57.9%,83.6%,"$1,291",90.3%,31.8%,37.5%,30.2%,53.6%
140,2,94.6%,28.8%,76.2%,59.4%,"$485,566","$77,418",15.3%,0,2,14,22.1%,11.3%,23.6%,85.8%,10.4%,88.1%,83.5%,$979,85.1%,39.3%,41.7%,40.4%,50.1%
141,2,100%,45.6%,63.7%,54.9%,"$846,389","$34,650",0%,2,2,73,29%,0%,98.8%,99.1%,0.3%,22.8%,99.1%,"$1,286",80%,22.2%,37.5%,21.6%,27.5%
142,2,93.9%,25.8%,77.1%,31.5%,"$607,985","$70,474",0%,1,5,14,19.2%,0%,97.7%,94.9%,3.2%,100%,94.7%,"$1,423",19.4%,20.8%,17.2%,26.6%,42.8%
143,2,100%,0.8%,98.5%,90.8%,"$319,042","$218,393",0%,0,5,0,32.3%,8.4%,13.8%,0%,0%,30.8%,24.3%,--,53.3%,78.6%,100%,80.6%,65.9%
144,--,94.5%,41.3%,76.5%,32%,"$1,107,147","$51,630",0%,--,0,2,27.4%,50.4%,54.6%,100%,0%,0%,96.7%,"$1,401",22.8%,28.8%,34.5%,29.5%,39.5%
145,--,89%,26.5%,79.8%,59.8%,"$676,608","$78,158",0%,--,1,2,25.5%,7.9%,1.7%,32%,4.5%,96.9%,30.8%,"$1,138",56.7%,28.8%,40%,33.3%,52%
146,2,95.2%,22.4%,86.3%,63.2%,"$290,167","$61,793",0%,0,5,20,21.7%,13.6%,52.4%,37.2%,54.3%,34.3%,21.4%,"$1,974",91%,47.1%,35.5%,34.8%,44.7%
147,2,94.7%,27.2%,85.2%,59.5%,--,"$42,536",0%,2,9,12,33.4%,18.6%,29.3%,59%,0.1%,9%,58.9%,"$1,230",49%,32.9%,36.4%,37.1%,46.1%
148,1,95.8%,1.7%,95.2%,79.4%,"$409,175","$174,625",0%,0,9,3,32%,47.6%,54.6%,4.5%,50.2%,77.4%,74.2%,"$1,760",67.9%,86.4%,63.6%,82.6%,69.8%
149,2,97.2%,4.7%,93%,77.6%,"$271,526","$102,083",0%,0,1,2,12.1%,31.8%,44.5%,0.8%,50.9%,64.2%,54.5%,"$1,750",18.7%,89.7%,90.5%,76.5%,43.5%
150,1,100%,29.6%,78.4%,49.8%,"$275,050","$57,143",0%,1,3,14,32.6%,0%,14.5%,96%,0%,43.1%,86.2%,"$1,231",82.3%,36.4%,34.3%,23.8%,57.1%
151,1,92.1%,4.2%,90.8%,79.5%,"$304,061","$147,440",0%,0,1,5,29.4%,0%,0%,74.5%,45.2%,96.7%,74.5%,"$2,154",79.3%,78.3%,83.8%,76.6%,43.3%
152,2,90.9%,19.3%,41.5%,79.4%,"$213,737","$50,227",0%,1,0,8,32.4%,0%,0%,0%,0%,19.6%,2.9%,"$2,060",99.4%,20%,26.7%,25.9%,55.8%
153,2,96.1%,15.6%,93.3%,82.7%,"$257,312","$119,829",0%,0,10,5,22.9%,29.4%,43.8%,39.6%,28%,1.8%,--,"$2,367",72.8%,32.4%,50.8%,48%,41.5%
154,2,95.8%,11.1%,89.4%,50.5%,"$349,851","$86,076",0%,0,8,5,29.2%,42.5%,42.7%,72.6%,39.1%,37.3%,63.9%,"$1,671",66.6%,41.4%,38.5%,47.8%,49.2%
155,1,96.8%,26.3%,83.7%,56.5%,"$242,590","$80,254",0%,0,3,5,17.2%,42.7%,26.2%,0%,0%,40%,--,"$1,430",42.2%,35.2%,31.6%,28.4%,35.9%
156,1,95.2%,26.3%,88.3%,79.2%,"$329,087","$85,429",0%,0,4,10,22.6%,36.7%,29.8%,46.4%,0%,64.7%,65.1%,"$1,470",93.9%,36.1%,27%,40.7%,46.8%
157,2,86.9%,39.9%,92.4%,24.2%,"$677,971","$46,192",0%,0,5,11,17.8%,0%,1%,100%,56.1%,78.4%,76.6%,"$1,487",21.1%,18.5%,0%,7.1%,7.6%
158,2,93.8%,35.6%,85.3%,55.8%,"$405,518","$55,089",0%,0,5,20,24.6%,0%,0%,78.2%,0%,50.7%,78.2%,"$1,353",100%,28.7%,37%,27.9%,32.6%
159,2,97%,56.8%,80.5%,24.6%,"$301,515","$34,583",19.1%,1,3,42,35.6%,0%,0%,100%,0%,100%,82.6%,"$1,238",61.6%,32.5%,16.7%,34.1%,47.4%
160,2,100%,36.3%,64.1%,67.7%,"$542,213","$62,798",0%,1,3,22,22.7%,0%,0%,78.4%,0%,84.2%,75.3%,"$1,336",80.9%,27.2%,10.3%,22%,31.3%
161,1,100%,19.5%,69.4%,8.1%,"$518,758","$52,147",0%,2,0,0,11%,0%,0%,0.3%,0%,100%,19.8%,"$1,478",11.2%,32.5%,43.5%,31%,67.1%
162,1,84%,29.7%,64.6%,65.4%,"$362,646","$57,222",0%,1,1,22,37.1%,26.3%,44.4%,100%,0%,96.3%,100%,"$1,638",92.7%,28.1%,23.1%,19.5%,42.7%
163,2,93.3%,19.5%,85.4%,46.5%,"$400,781","$92,143",16.8%,0,13,6,15.8%,96.4%,100%,99.9%,100%,100%,99.9%,"$1,743",25.5%,33.3%,75%,38.9%,20.3%
164,2,95.4%,30%,54%,25.9%,"$395,623","$51,884",0%,1,6,22,31.8%,86.9%,72.3%,79.7%,94.5%,88.3%,79.7%,"$1,112",29.2%,21%,22.7%,21.5%,38.9%
165,1,97.2%,37.4%,54.5%,14.7%,"$322,156","$49,379",0%,1,1,10,33.8%,79.4%,86.5%,100%,93.8%,96.1%,100%,"$1,262",23.4%,32.4%,35.7%,20.9%,38.2%
166,2,87.6%,36.1%,98.2%,43%,"$581,477","$49,394",0%,1,1,21,16.5%,99.7%,92.4%,100%,1.5%,3.1%,100%,"$1,357",19%,19.6%,18.8%,14.8%,37.7%
167,2,92.9%,46.9%,85.2%,35%,"$479,042",--,18.2%,1,0,16,10.9%,57.9%,70.1%,100%,0%,100%,100%,"$1,180",22.3%,29.7%,27.3%,34.3%,38%
168,2,95.6%,37.4%,66.2%,61.5%,"$278,200","$49,189",0%,1,3,25,23.1%,14.3%,14.4%,99.7%,34.4%,68.6%,99.7%,"$1,430",70.6%,30%,27.8%,25.8%,36.3%
169,2,100%,5.1%,97.2%,56.5%,"$522,000","$120,847",0%,0,1,1,28%,0%,25.2%,84.2%,0%,75.4%,86.1%,"$1,841",35.2%,75.3%,81.5%,77.4%,52.4%
170,1,90.7%,3.9%,96.2%,82.7%,"$272,450","$114,625",0%,0,1,2,33.6%,22.6%,28.5%,51.6%,48.7%,76.8%,54.6%,"$1,837",71.5%,78.3%,87.9%,84%,57%
171,1,97.7%,7.9%,88.4%,37.8%,"$276,069","$115,313",0%,0,2,6,10.6%,74.4%,88.9%,92.6%,88.3%,0%,92.6%,"$1,721",35.9%,61.5%,--,63.6%,38.3%
172,2,96.4%,4%,85.3%,46.8%,"$272,433","$144,135",0%,0,1,1,34.9%,65%,33.4%,29.5%,72.4%,96.4%,78.1%,"$2,002",37.3%,79.6%,88.8%,86%,45.5%
173,1,95.5%,37%,80.1%,65.6%,"$1,401,196",--,0%,0,4,24,21.4%,0%,0%,100%,13.4%,99.3%,100%,"$1,406",79.4%,33.3%,29.4%,25.6%,39.4%
174,2,93.7%,23.4%,71.2%,89.8%,"$382,500","$79,000",0%,0,6,6,20.2%,16.6%,49.1%,5.7%,0%,16.8%,11.2%,"$1,818",38.2%,53.1%,52%,39.7%,57.7%
175,2,91.6%,2.8%,94.5%,86.4%,"$257,640","$138,679",0%,0,5,4,23.9%,0%,0%,0%,0%,25.4%,--,"$2,133",99.7%,67.6%,93.3%,94.6%,82.6%
176,2,98.2%,3.5%,87%,88.5%,"$381,147","$157,454",0%,0,5,5,19.8%,27.2%,24.8%,32.4%,20%,9.7%,38.7%,"$2,287",83.8%,78.8%,81.8%,76.5%,54%
177,2,97.3%,1.3%,88.8%,93.6%,"$243,738","$240,000",0%,0,5,6,31.7%,0%,23.9%,0.5%,0.2%,0%,0.5%,"$2,738",63.5%,82.6%,66.7%,68.1%,74.5%
178,1,96%,18.6%,84.5%,14.2%,"$305,083","$78,219",5.5%,0,1,4,12.3%,0%,18.9%,25.4%,46.7%,5.4%,25.4%,"$1,617",7.9%,42%,22.7%,27.5%,42.1%
179,2,97.6%,1.5%,89.4%,94.5%,"$266,979","$156,250",0%,0,6,3,29.8%,14.8%,24.5%,70.6%,20.2%,30.1%,70.6%,--,82.3%,95.2%,70%,84.6%,46.2%
180,2,89.6%,24.3%,79.4%,80.7%,"$334,864","$99,545",0%,0,2,35,31.2%,0%,3.3%,100%,11.9%,85%,100%,"$1,221",99.6%,40%,32%,36.4%,40.1%
181,1,96.7%,2.7%,86.3%,60.6%,"$542,350","$90,893",0%,0,7,4,21%,44.5%,44.1%,64.7%,3.9%,66.5%,64.7%,"$1,460",54.5%,75.4%,83.3%,68.4%,62.5%
182,2,95%,45.4%,75%,81.3%,"$528,237","$44,500",0%,1,4,21,6%,0%,31.9%,100%,0%,100%,2.6%,"$1,125",81.5%,13%,--,38.1%,18.2%
183,2,100%,35.4%,100%,16%,"$346,814","$51,905",0%,0,1,15,37.4%,14.3%,15.9%,100%,1.7%,89.7%,99.7%,"$1,680",49%,37.8%,20%,23.8%,51.6%
184,2,97.3%,1%,92.6%,85.9%,"$280,989","$199,950",0%,0,1,13,26.4%,37.8%,84.4%,80.6%,57.9%,91.4%,97.4%,"$2,054",95.6%,71.4%,85.7%,84.6%,43.4%
185,3,96.3%,24.7%,71.2%,0.9%,"$487,287","$53,794",0%,3,1,2,23.6%,0%,100%,100%,50.8%,33.7%,100%,"$1,402",0.1%,27.8%,33.3%,13.5%,40.7%
186,2,94.8%,27.3%,86.9%,81.2%,"$537,674","$65,263",0%,0,3,30,25.3%,35.6%,3.5%,97%,4.5%,89.8%,97.1%,"$1,552",97.8%,41.7%,35.4%,34.4%,58.8%
187,1,100%,6.2%,94.2%,51.2%,"$640,647","$132,793",0%,0,2,6,31.1%,77%,72.8%,100%,64.4%,76.7%,100%,"$1,902",76.5%,66.7%,63.6%,75%,47.1%
188,1,96.4%,10.9%,91.4%,52.1%,"$290,948","$124,583",0%,0,2,3,38.6%,74.6%,68.9%,98.2%,83.3%,45.3%,98.2%,"$1,720",34.4%,63%,81.3%,68.8%,46.6%
189,1,95.7%,11.1%,77.5%,1.7%,"$596,958","$71,349",0%,0,0,0,28.1%,88.3%,88.3%,0%,95.8%,0%,--,"$1,938",11.7%,69.6%,93.8%,71.7%,44.5%
190,2,100%,43.4%,73.9%,37.4%,"$505,042","$41,290",0%,2,1,29,15.8%,0%,0%,0%,49.3%,63.2%,--,"$1,153",100%,42.5%,38.5%,29.5%,26.7%
191,2,99.4%,20.4%,85.3%,60.1%,"$371,783","$71,374",0%,0,6,6,25.8%,19.7%,44.2%,6.5%,16.7%,91.8%,6.5%,"$1,625",63.8%,30.6%,42.1%,39.5%,53.6%
192,1,94.3%,21.6%,83.7%,66.4%,"$329,514","$85,938",0%,0,6,9,27.7%,34%,0.3%,82.9%,49%,76.2%,87.3%,"$1,611",65%,40%,51.4%,39.4%,37.7%
193,2,93.7%,9.7%,95.1%,50.6%,"$667,910","$125,893",0%,0,4,2,27.7%,64.8%,69.5%,97%,79.5%,27.3%,96.3%,"$2,067",46%,65%,92.3%,45.5%,38.7%
194,--,99.2%,2.5%,95%,72.7%,--,"$166,382",0%,--,2,1,31.1%,4.4%,15.6%,49.8%,19.6%,58.4%,0.1%,"$1,454",76.8%,88.7%,90.7%,79%,68.2%
195,1,99.3%,23.9%,78.8%,24.1%,"$387,026","$66,727",6.8%,0,0,0,29%,0%,0%,1.2%,0%,0%,1.2%,"$1,537",17.3%,47.1%,41.7%,33.8%,59%
196,1,94.5%,28.3%,79.6%,67.5%,"$301,635","$63,403",8.9%,0,3,18,17.4%,49.4%,47%,95%,8.4%,90%,95%,--,63.7%,23.3%,41.9%,40.2%,49.9%
197,2,97.9%,31.7%,73.8%,51.7%,"$437,083","$62,424",4.9%,1,2,13,23.7%,0%,0.2%,100%,0.1%,95.8%,100%,"$1,311",44.2%,42.3%,30%,41.3%,39.5%
198,1,99%,8.3%,72.2%,55.5%,"$814,429","$124,737",9.4%,1,4,5,22.6%,0%,0%,28.4%,0%,91.6%,42.9%,"$1,783",68.7%,72.7%,40%,65.8%,77.7%
199,2,95.6%,49.1%,76%,9.2%,"$312,553","$58,512",0%,6,4,10,16.3%,43.6%,6.9%,99%,0%,66.3%,99%,"$1,079",22.7%,23.7%,29.5%,29.2%,26.1%
200,2,95.7%,66.7%,85.6%,28.2%,"$458,091","$55,476",54%,1,0,4,30.5%,0.9%,1.3%,100%,100%,100%,100%,"$1,048",0%,27.1%,36.4%,20.8%,11.3%
201,1,96.2%,4.1%,81.9%,80.8%,"$526,580","$174,732",0%,0,6,2,20.7%,23.6%,25.8%,55.9%,0%,53%,62.8%,--,58.7%,67.1%,72.2%,68.9%,58.8%
202,2,94.3%,29.4%,61.7%,53.8%,"$897,500","$46,250",0%,1,3,28,22.6%,40.6%,0%,100%,38.1%,98.3%,100%,"$1,407",62.6%,32.5%,18.8%,32.6%,36.1%
203,2,91.6%,13.8%,87.9%,85.8%,"$433,565","$112,770",0%,0,1,5,20.5%,0%,0%,1.4%,0%,0%,1.4%,"$2,147",86.3%,40%,46.4%,38.2%,77.1%
204,1,95.9%,5.3%,81.6%,76.1%,"$236,500","$166,012",0%,0,1,3,20.9%,87.4%,92.5%,12.2%,97.9%,69%,7.9%,"$1,938",62.1%,80.4%,75.9%,73.1%,34.9%
205,1,100%,0.6%,95.7%,100%,"$336,500","$213,281",0%,0,2,1,26.5%,7.9%,0%,27%,0%,16.8%,--,--,100%,96%,100%,90%,70%
206,1,95.5%,3.4%,98.5%,45.3%,"$354,773","$107,357",0%,0,0,0,27.2%,72.6%,65.5%,39.8%,83.5%,14.7%,--,"$1,552",51%,75.5%,82.6%,77.3%,55%
207,2,98.5%,19.9%,86.8%,2.5%,"$346,495","$68,299",0%,0,0,2,19.2%,0%,40.9%,82.9%,53.2%,100%,82.9%,"$1,594",4.3%,35.9%,33.3%,22.9%,24.4%
208,2,98.7%,0%,95.3%,98.7%,"$1,163,259","$195,326",0%,0,3,7,32.4%,0%,0%,36.5%,0.3%,13.7%,12%,--,96.2%,91.7%,88%,80%,38.8%
209,2,96.1%,22%,81.8%,55.2%,"$983,262","$70,227",0%,0,5,5,22.1%,1.3%,7%,84%,7.7%,95%,84%,"$1,613",66.2%,36.3%,33.3%,37.2%,41.5%
210,2,98.1%,10.7%,91.4%,19.2%,"$393,690","$90,882",5.6%,0,3,0,9%,76.6%,100%,6.1%,92.7%,7.3%,7.3%,"$1,622",1%,31.3%,37.5%,56.7%,43%
211,1,93.3%,20%,87.7%,76.8%,"$433,932","$87,456",0%,0,2,17,20.5%,0%,0%,77.2%,0%,9.2%,77.2%,"$1,927",100%,35.4%,42.1%,22.2%,53%
212,2,100%,32.3%,71.3%,45.7%,"$544,283","$55,795",0%,0,1,14,37%,67.7%,59.7%,100%,63.4%,99.2%,100%,"$1,439",35%,23.5%,26.3%,21.2%,37.2%
213,2,96.6%,1.1%,81.7%,72.5%,"$305,500","$116,250",0%,0,5,2,25.1%,50.2%,26.2%,63.1%,71.2%,29.2%,47.4%,"$1,867",56.7%,80%,100%,73.1%,47.4%
215,1,100%,0.8%,88.4%,100%,"$281,230","$250,001",0%,0,5,3,30.4%,0%,0%,0%,0%,59.1%,--,--,100%,82.8%,62.5%,84.6%,74.7%
216,2,89.3%,4.5%,100%,67.5%,"$764,293","$109,659",0%,0,6,4,22.1%,61.8%,0%,96.1%,64.9%,8.6%,89.5%,"$1,788",49.5%,92.3%,--,76.5%,65.5%
217,2,100%,0.4%,79.4%,96.5%,"$279,676","$228,444",0%,0,2,4,22.8%,0%,0%,0%,0%,14.1%,2%,--,100%,85.3%,100%,94.1%,79.8%
218,2,96.9%,15.7%,96.6%,47.4%,"$1,178,573","$80,597",15.7%,0,7,3,23.2%,21%,29.1%,80.3%,40.7%,99.8%,89.1%,"$1,588",55%,61.5%,35.3%,35.9%,58.7%
219,2,94.7%,14.2%,76.2%,18.4%,"$317,204","$36,568",0%,0,5,11,0.8%,50.4%,31.1%,10.8%,36.5%,72.7%,56.3%,"$1,044",29.2%,27.5%,44.4%,16.3%,36%
220,--,89.2%,20.2%,78%,50.3%,"$553,725","$34,714",0%,--,0,11,30.8%,23.6%,37.8%,82.5%,30.9%,30.3%,82.5%,"$1,641",100%,16.9%,27.3%,28%,53.1%
221,1,97.2%,28.6%,74.2%,26.5%,"$247,167","$40,833",0%,1,6,3,3%,51.5%,24.1%,80.4%,37.7%,100%,98.7%,"$1,639",28.8%,38%,31.3%,32.3%,45%
222,2,98.8%,1.1%,88.8%,100%,"$421,521","$162,778",0%,0,3,1,22.5%,0%,0%,5.6%,0%,64.9%,--,--,92.6%,77.8%,63.6%,80%,72.9%
223,2,88.9%,20.5%,64.1%,68.9%,"$444,477","$78,698",0%,0,3,29,13.3%,41.5%,55%,100%,24.7%,97.9%,100%,"$1,218",92.7%,51.8%,16.7%,25.9%,47%
224,2,90.3%,10.6%,88.2%,38.1%,"$1,045,038","$53,690",0%,0,2,2,11.2%,18.3%,9%,99.1%,0%,100%,99%,"$1,420",43.9%,43.7%,40%,50%,65.3%
225,1,93.7%,16.3%,77.3%,64%,"$324,466","$82,969",0%,0,1,0,30.2%,0%,0%,0.9%,0%,83.9%,76.3%,"$1,669",44.3%,34.5%,28.6%,42.1%,66%
226,2,100%,9.3%,75.9%,52.5%,"$423,700","$125,625",0%,1,4,4,9.4%,16.4%,28.4%,29.3%,31.2%,54.3%,26.7%,"$1,470",34.3%,53.3%,--,50%,40%
227,1,99.9%,21.7%,78.9%,72.1%,"$1,801,065","$61,703",0%,0,4,42,32.2%,0%,0%,99.9%,0%,0%,99.9%,--,99.9%,44%,47.2%,37.5%,57.6%
228,2,100%,21.8%,68.5%,89.3%,"$286,194","$77,222",0%,0,1,1,9.3%,0%,0%,80.2%,0%,8.7%,80.2%,--,100%,53.6%,18.2%,42.9%,33.3%
229,2,89.1%,31.4%,86.8%,86.3%,"$343,732","$84,177",0%,0,4,23,34.9%,2.7%,2.4%,33%,1.3%,22.4%,47.3%,"$1,579",79%,32.1%,29.2%,37%,49.4%
230,2,95.7%,16.6%,83.1%,4.7%,"$323,804","$74,455",0%,0,1,7,24.9%,0%,0%,98.3%,47.4%,100%,98.3%,"$1,608",19%,27.8%,22.2%,25%,60.5%
